,Status,Reference,Value,Footprint,LCSC,Part,Manufacturer,Description,Datasheet/Listing
33,Basic,R16,10kΩ,R_0402,C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
34,Basic,R17,10kΩ,R_0402,C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
35,Basic,R18,R_Photo,R_LDR_5.1x4.3mm_P3.4mm_Vertical,,,,Photoresistor,
36,Basic,R19,10kΩ,R_0402,C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
37,Basic,R20,10kΩ,R_0402,C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
38,Basic,R21,10kΩ,R_0402,C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf
39,,D1,PGOOD,D_0805,C2297,KT-0805G,Hubei KENTO Elec,Emerald 0805 LED Indication - Discrete ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_1806151820_Hubei-KENTO-Elec-KT-0805G_C2297.pdf
40,,D2,CHG,LED_D3.0mm,,,,Light emitting diode,
41,,D3,B5819W_C8598,SOD-123_L2.7-W1.6-LS3.7-RD-1,C8598,B5819W SL,CJ(江苏长电/长晶),B5819W SL,https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_B5819W-SL_C8598.html
42,,D6,PTVSUC3D5VB,SOD-323_L1.8-W1.3-LS2.5-BI,C918847,PTVSUC3D5VB,Prisemi(芯导),,https://lcsc.com/product-detail/TVS_Shanghai-Prisemi-Elec-PTVSUC3D5VB_C918847.html
43,,D7,PTVSUC3D5VB,SOD-323_L1.8-W1.3-LS2.5-BI,C918847,PTVSUC3D5VB,Prisemi(芯导),,https://lcsc.com/product-detail/TVS_Shanghai-Prisemi-Elec-PTVSUC3D5VB_C918847.html
44,,U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-Custom,,,,"RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD",https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf
45,,U2,BQ24079RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,,,"USB-Friendly Li-Ion Battery Charger and Power-Path Management, VQFN-16",http://www.ti.com/lit/ds/symlink/bq24079.pdf
46,,U3,TLV75533PDBV,SOT-23-5,,,,"500mA Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5",http://www.ti.com/lit/ds/symlink/tlv755p.pdf
47,Extended - JLC Assembly,U4,BMI323,BMI323_BOS,,,,,
